In,Out,Duration,Text,Speaker,Status
00:00:00.570,00:00:21.249,00:00:20.679,"I'm just gonna say she sold me shrooms. I swear I think he said this. I just really don't listen to Ari when he talks. Sometimes, like if he don't got nothing to do with me, I'm not listening, because he'd be chatting. Then somehow that turned into the Quran, and somehow that turns into, I really don't be listening to people. I have this thing where I have to block people out.",Speaker 1,not-edited
00:00:22.510,00:00:22.989,00:00:00.479,Even me?,Speaker 2,not-edited
00:00:23.680,00:00:25.420,00:00:01.740,"No, you don't need to talk to me about this too, sir.",Speaker 1,not-edited
00:00:25.970,00:00:26.609,00:00:00.639,Like the cron.,Speaker 2,not-edited
00:00:28.330,00:00:36.890,00:00:08.560,"Yeah, yeah, yeah. You be chillin'. Aw, I love you. And I'll be with myself because anybody that know me, I will zone a little bit out.",Speaker 1,not-edited
00:00:36.900,00:00:39.220,00:00:02.320,But what did he think he was going to get from...,Speaker 2,not-edited
00:00:38.930,00:00:42.470,00:00:03.540,"I don't know, didn't really give a fuck. I'm just making conversation.",Speaker 1,not-edited
00:00:44.480,00:00:47.459,00:00:02.979,"I just would think, uh, listen, I don't care, it doesn't matter.",Speaker 2,not-edited
00:00:47.790,00:01:00.010,00:00:12.220,"'But I think he did say something like that. That's why you were about to tell me something. I already knew that he was counter-suing you, because I heard him say that. I just don't know how the court system works. And I don't give a fuck.",Speaker 1,not-edited
00:01:00.040,00:01:01.060,00:00:01.020,But I didn't sue Aria.,Speaker 2,not-edited
00:01:02.060,00:01:08.099,00:00:06.039,"No, I know all of that. I know you're not suing him, but I know he's helping Boyd with the situation.",Speaker 1,not-edited
00:01:08.490,00:01:09.610,00:00:01.120,You get what I'm saying? But why?,Speaker 2,not-edited
00:01:10.130,00:01:27.310,00:00:17.180,"I don't know. That guy already did everything. I know. I don't know why he's involved there, but I could have sworn that he told me. Like, now I'm digging in the back of my head. I could've sworn he said something about me selling him drugs. That, I fucking remember. So when you brought that up...",Speaker 1,not-edited
00:01:27.380,00:01:29.620,00:00:02.240,'But don't you know that I don't sell drugs? Why aren't you like-,Speaker 2,not-edited
00:01:29.650,00:01:42.670,00:00:13.020,"Listen, I don't know you before him. I know that he used to do shrooms. I know he used, I know you did some cocaine. I don't know. I think you be wanting me to questions and answers. I'm not doing none of that. It's not my business. No, I'm talking to my people.",Speaker 1,not-edited
00:01:41.850,00:01:44.049,00:00:02.199,"Baby, I don't need you to anything him.",Speaker 2,not-edited
00:01:43.860,00:02:00.200,00:00:16.340,"I said, I think you'd be wanting me to question motherfucking shit. I don't do that. It's not my thing I don't like talking behind people's back. I dont like talking about music. I think that you do it all. That's not what I think. I just listen. My mother doesn't tell me shit. I just go now, I listen. I'm not really listening. That has nothing to do with me.",Speaker 1,not-edited
00:02:00.300,00:02:01.459,00:00:01.159,"I get that, I get that.",Speaker 2,not-edited
00:02:01.730,00:02:18.050,00:00:16.320,"'But now that I'm sitting here thinking about it, I will confirm that that mother-booker definitely told me you sold him drugs. Why would he tell me that right after talking about the court situation? Because he counted, like you said. No.",Speaker 1,not-edited
00:02:17.780,00:02:18.880,00:00:01.100,"No, he didn't encounter.",Speaker 2,not-edited
00:02:19.280,00:02:19.580,00:00:00.300,Whoa.,Speaker 1,not-edited
00:02:19.650,00:02:20.289,00:00:00.639,That's it,Speaker 2,not-edited
00:02:21.220,00:02:24.739,00:00:03.519,Matt Conner because he has proof that you sold him drugs.,Speaker 1,not-edited
00:02:25.660,00:02:33.459,00:00:07.799,"Aria, like you said, joined Matt's team and added that to the suit. The suit's just about money, and Aria brought drugs into it.",Speaker 2,not-edited
00:02:34.950,00:02:41.870,00:00:06.920,"I don't know too much, but I did remember him telling me he was looking for me. I think he said Schrodinger's. This",Speaker 1,not-edited
00:02:42.150,00:02:43.430,00:00:01.280,This is why you're gonna get fucked.,Speaker 2,not-edited
00:02:46.260,00:03:07.800,00:00:21.540,"You know that little extra shit you got going on with Sertie? I just need you to be mindful that I don't want you dragging this shit in any time. Well, you already said she sold you drugs. And they type in drugs and see what I got going, and then they start investigating me. That doesn't look good, bro. So figure it out. I'm walking away.",Speaker 1,not-edited
00:03:08.740,00:03:22.539,00:00:13.799,That's fine it really doesn't matter because there's so many other things at play that that's really the least bit of my problem or the problem but i don't see him dropping it entirely and if he doesn't drop,Speaker 2,not-edited
00:03:22.360,00:03:48.340,00:00:25.980,"But if I don't say anything, I'm a weirdo. If I say something, I have to say something. If I don't say nothing, then I'm just giving myself more of a chance to get in trouble. If I said something, then he has time to think about it. Maybe he'll think about for himself, too. Or maybe he might have them right. Maybe he sees how he sells me. Maybe he might think I'll roll on him. We'll talk about that in the next video.",Speaker 1,not-edited
00:03:49.780,00:03:54.819,00:00:05.039,It's not even about that. It's just that this is a real court case and they're going to get real facts out of it.,Speaker 2,not-edited
00:03:55.540,00:04:00.580,00:00:05.040,So at least your worries might be a lot of my worries and vice versa.,Speaker 1,not-edited
00:04:01.160,00:04:01.800,00:00:00.640,A hundred years.,Speaker 2,not-edited
00:04:01.660,00:04:02.399,00:00:00.739,I don't want to be alone.,Speaker 1,not-edited
00:04:02.630,00:04:59.339,00:00:56.709,"There's like 12 other items in this suit. That's why I'm saying this is bullet like number 11. It doesn't even matter. It's not the point, but it's your whole point. And I don't get what Aria's getting out of this. Like I really don't. So weird. Just for the record, I really do know that you keep everything in its own lane, and I love that about you.",Speaker 2,not-edited
