In,Out,Duration,Text,Speaker,Status
00:00:02.080,00:00:06.960,00:00:04.880,"We're getting back to the same problem again, it's just going to be a, there's only one",Speaker 1,not-edited
00:00:08.240,00:00:08.659,00:00:00.419,I'm what?,Speaker 2,not-edited
00:00:09.160,00:00:09.839,00:00:00.679,"Nothing, yeah.",Speaker 1,not-edited
00:00:09.800,00:00:11.019,00:00:01.219,"No, repeat what you just said.",Speaker 2,not-edited
00:00:10.780,00:00:31.940,00:00:21.160,"I don't even know what I'm saying. I think... I don't even know. The whole thing's insane, the whole thing is insane, and I'm doing it again.",Speaker 1,not-edited
00:00:36.020,00:00:39.700,00:00:03.680,"Matt, get out of your own head for a second. I can't, dude. Do you understand that?",Speaker 2,not-edited
00:00:46.620,00:00:59.380,00:00:12.760,"I'll ask you this, do you want to get together tomorrow night, or are we getting together? You replied it like you always do. Are we getting to get to work tomorrow night? Do you want get to get tomorrow afternoon? Like I'm just...",Speaker 1,not-edited
00:01:00.440,00:01:08.120,00:00:07.680,Tomorrow afternoon at what time i'm looking at a fucking calendar you always think like you see this is your problem with me and and once you start I'm sorry.,Speaker 2,not-edited
00:01:08.120,00:01:08.920,00:00:00.800,"12 PM, 12 PM.",Speaker 1,not-edited
00:01:08.950,00:01:35.950,00:00:27.000,Give me up tomorrow. I will do that under one condition. You give me like a little bit of grace like some a little bit of trust an act of goodwill you see matt when you asked me i think if i would ever steal company information or something else was like yesterday like where did that come,Speaker 2,not-edited
00:01:37.520,00:01:55.420,00:00:17.900,"not like that, so fucked up just so very clear, some of the time you were, some even the same day I said that to you you don't even know that you, you, make bad friends like you did twice in that same day or the day before that, you were like",Speaker 1,not-edited
00:01:55.300,00:01:58.680,00:00:03.380,"Can you name something so I can be cognizant of it? Okay, like what?",Speaker 2,not-edited
00:01:58.220,00:02:11.100,00:00:12.880,Like what you said once this is over oh i will not you will not be my friend i will not and then you said and just so you know my mother i can't yes i fear for her,Speaker 1,not-edited
00:02:11.410,00:02:11.949,00:00:00.539,"Yes, she was.",Speaker 2,not-edited
00:02:12.520,00:02:13.360,00:00:00.840,She's a psycho.,Speaker 1,not-edited
00:02:15.930,00:02:16.949,00:00:01.019,"See, that's a good meal.",Speaker 2,not-edited
00:02:17.040,00:02:23.720,00:00:06.680,"Warning you well, what what's the warning? So don't fire me because I'm going to do that might happen. What is that?",Speaker 1,not-edited
00:02:24.490,00:02:32.750,00:00:08.260,"Honestly, if we're really cutting it down to no bullshit, you were firing me because I wouldn't have sex with you and you weren't getting what you want, not because I don't show up to work every day.",Speaker 2,not-edited
00:02:32.970,00:02:46.350,00:00:13.380,"No, that wasn't wrong, but part of it was that I was trying to understand, I'm still trying to make you a salesperson, trying to do what I think is best for you.",Speaker 1,not-edited
00:02:46.270,00:03:04.729,00:00:18.459,"Well, you are now, as of a week ago. Okay, so I'm with you. The mission has changed, but you've got to give me time to readjust, catch up, get the new game plan. I'm really trying, Matt! Like, I'm trying to develop, like...",Speaker 2,not-edited
00:03:04.900,00:03:09.620,00:00:04.720,"Just so you know, it was a situation that I could not, and it's still that.",Speaker 1,not-edited
00:03:09.740,00:03:13.599,00:00:03.859,But you're not being honest about what led all of that to light.,Speaker 2,not-edited
00:03:14.879,00:03:38.479,00:00:23.600,"I have been honest. I have said to you, it did drive me crazy. Every time I saw you, I wanted to be with you, and you would say, next week. You want to just go sit down somewhere, or walk, like we said earlier. You wonder how all these movies happen.",Speaker 1,not-edited
00:03:39.560,00:03:45.860,00:00:06.300,"'That's the other thing that, honestly, you know, because our office is too much bullshit, and I'm not work, and-",Speaker 2,not-edited
00:03:44.230,00:03:51.730,00:00:07.500,"Also, don't think that we don't look like a couple, like a part of it. Don't think like that.",Speaker 1,not-edited
00:03:56.240,00:04:01.360,00:00:05.120,"Okay, exactly. Okay, so hold on with that being said we need to counteract that",Speaker 2,not-edited
